id_farmacia,ean,stock,precio,promo
11,30109650,0,125.50,No Promo
11,30109681,0,125.50,No Promo
11,30109711,0,125.50,No Promo
11,30109735,0,125.50,No Promo
11,30110298,0,260.10,No Promo
11,30110359,0,260.10,No Promo
11,30110373,0,260.10,No Promo
11,30110403,0,260.10,No Promo
11,30110410,0,260.10,No Promo
11,30110441,0,260.10,No Promo
11,30110502,0,189.90,No Promo
11,30110540,0,189.90,No Promo
11,30110564,0,189.90,No Promo
11,30110571,0,189.90,No Promo
11,30110595,0,184.40,No Promo
11,30110649,0,300.00,No Promo
11,30110656,0,300.00,No Promo
11,30110670,0,300.00,No Promo
11,30110687,0,300.00,No Promo
11,30110717,0,745.00,No Promo
11,30110724,0,300.00,No Promo
11,30110861,0,107.70,No Promo
11,30110878,0,107.70,No Promo
11,30110885,0,107.70,No Promo
11,30112797,0,136.70,No Promo
11,30112803,0,125.50,No Promo
11,30112810,0,125.50,No Promo
11,30112827,0,125.50,No Promo
11,30113404,0,152.00,No Promo
11,30113442,0,126.80,No Promo
11,30113466,0,126.80,No Promo
11,30113510,0,126.80,No Promo
11,30113534,0,115.90,No Promo
11,30113541,0,126.80,No Promo
11,30114326,0,18569.00,40%
11,30115620,0,187.00,No Promo
11,30115668,0,187.00,No Promo
11,30115675,0,187.00,No Promo
11,30115682,0,126.80,No Promo
11,30115699,0,126.80,No Promo
11,30115705,0,136.70,No Promo
11,30115712,0,136.70,No Promo
11,30115729,0,282.00,No Promo
11,30115941,0,126.80,No Promo
11,30116214,0,420.00,No Promo
11,30116221,0,149.70,No Promo
11,30116238,0,392.00,No Promo
11,30116252,0,240.00,No Promo
11,30117471,0,184.40,No Promo
11,30117518,0,152.00,No Promo
11,30117525,0,152.00,No Promo
11,30117532,0,152.00,No Promo
11,30118867,0,331.00,No Promo
11,30118874,0,298.00,No Promo
11,30120600,0,504.00,No Promo
11,30120624,0,504.00,No Promo
11,30120662,0,625.00,No Promo
11,30120679,0,187.00,No Promo
11,30120693,0,299.00,No Promo
11,30120716,0,625.00,No Promo
11,30120723,0,625.00,No Promo
11,30120730,0,625.00,No Promo
11,30120754,0,504.00,No Promo
11,30120761,0,504.00,No Promo
